Combination,Binding_Entity,Antigen,Seed,Approx_DeltaG_kcal_per_mol,Prodigy_DeltaG_kcal_per_mol,Contacts,Model_Path,Antibody_Type,Is_Scaled
nbalb_8y9t_alb,nbalb_8y9t,alb,8,-28.1,-8.2,281,results\model_directory\fold_nbalb_8y9t_alb_seed_8_model_4.cif,1,False
nbalb_8y9t_alb,nbalb_8y9t,alb,9,-29.200000000000003,-7.8,292,results\model_directory\fold_nbalb_8y9t_alb_seed_9_model_0.cif,1,False
nbalb_8y9t_alb,nbalb_8y9t,alb,9,-58.400000000000006,-10.7,584,results\model_directory\fold_nbalb_8y9t_alb_seed_9_model_1.cif,1,False
nbalb_8y9t_alb,nbalb_8y9t,alb,9,-26.3,-7.4,263,results\model_directory\fold_nbalb_8y9t_alb_seed_9_model_2.cif,1,False
nbalb_8y9t_alb,nbalb_8y9t,alb,9,-43.800000000000004,-9.1,438,results\model_directory\fold_nbalb_8y9t_alb_seed_9_model_3.cif,1,False
nbalb_8y9t_alb,nbalb_8y9t,alb,9,-38.6,-7.7,386,results\model_directory\fold_nbalb_8y9t_alb_seed_9_model_4.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,1,-43.6,-9.8,436,results\model_directory\fold_nbalb_8y9t_gfp_seed_1_model_0.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,1,-45.1,-9.7,451,results\model_directory\fold_nbalb_8y9t_gfp_seed_1_model_1.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,1,-37.6,-8.9,376,results\model_directory\fold_nbalb_8y9t_gfp_seed_1_model_2.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,1,-42.6,-9.5,426,results\model_directory\fold_nbalb_8y9t_gfp_seed_1_model_3.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,1,-39.800000000000004,-9.8,398,results\model_directory\fold_nbalb_8y9t_gfp_seed_1_model_4.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,10,-32.5,-9.3,325,results\model_directory\fold_nbalb_8y9t_gfp_seed_10_model_0.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,10,-44.300000000000004,-10.0,443,results\model_directory\fold_nbalb_8y9t_gfp_seed_10_model_1.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,10,-32.4,-9.4,324,results\model_directory\fold_nbalb_8y9t_gfp_seed_10_model_2.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,10,-33.300000000000004,-9.0,333,results\model_directory\fold_nbalb_8y9t_gfp_seed_10_model_3.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,10,-41.7,-9.6,417,results\model_directory\fold_nbalb_8y9t_gfp_seed_10_model_4.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,2,-34.4,-9.5,344,results\model_directory\fold_nbalb_8y9t_gfp_seed_2_model_0.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,2,-36.7,-9.5,367,results\model_directory\fold_nbalb_8y9t_gfp_seed_2_model_1.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,2,-42.800000000000004,-9.5,428,results\model_directory\fold_nbalb_8y9t_gfp_seed_2_model_2.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,2,-42.900000000000006,-9.3,429,results\model_directory\fold_nbalb_8y9t_gfp_seed_2_model_3.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,2,-43.7,-10.3,437,results\model_directory\fold_nbalb_8y9t_gfp_seed_2_model_4.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,3,-43.1,-9.8,431,results\model_directory\fold_nbalb_8y9t_gfp_seed_3_model_0.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,3,-43.7,-9.6,437,results\model_directory\fold_nbalb_8y9t_gfp_seed_3_model_1.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,3,-41.0,-9.3,410,results\model_directory\fold_nbalb_8y9t_gfp_seed_3_model_2.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,3,-32.6,-9.1,326,results\model_directory\fold_nbalb_8y9t_gfp_seed_3_model_3.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,3,-38.2,-8.6,382,results\model_directory\fold_nbalb_8y9t_gfp_seed_3_model_4.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,4,-39.300000000000004,-9.6,393,results\model_directory\fold_nbalb_8y9t_gfp_seed_4_model_0.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,4,-41.2,-10.3,412,results\model_directory\fold_nbalb_8y9t_gfp_seed_4_model_1.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,4,-41.900000000000006,-9.7,419,results\model_directory\fold_nbalb_8y9t_gfp_seed_4_model_2.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,4,-42.2,-9.7,422,results\model_directory\fold_nbalb_8y9t_gfp_seed_4_model_3.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,4,-57.900000000000006,-10.4,579,results\model_directory\fold_nbalb_8y9t_gfp_seed_4_model_4.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,5,-41.300000000000004,-9.6,413,results\model_directory\fold_nbalb_8y9t_gfp_seed_5_model_0.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,5,-33.2,-9.0,332,results\model_directory\fold_nbalb_8y9t_gfp_seed_5_model_1.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,5,-40.0,-9.2,400,results\model_directory\fold_nbalb_8y9t_gfp_seed_5_model_2.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,5,-36.5,-10.1,365,results\model_directory\fold_nbalb_8y9t_gfp_seed_5_model_3.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,5,-26.400000000000002,-7.7,264,results\model_directory\fold_nbalb_8y9t_gfp_seed_5_model_4.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,6,-40.0,-9.3,400,results\model_directory\fold_nbalb_8y9t_gfp_seed_6_model_0.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,6,-39.900000000000006,-9.7,399,results\model_directory\fold_nbalb_8y9t_gfp_seed_6_model_1.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,6,-41.400000000000006,-9.8,414,results\model_directory\fold_nbalb_8y9t_gfp_seed_6_model_2.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,6,-42.0,-9.3,420,results\model_directory\fold_nbalb_8y9t_gfp_seed_6_model_3.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,6,-37.6,-9.3,376,results\model_directory\fold_nbalb_8y9t_gfp_seed_6_model_4.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,7,-45.0,-9.8,450,results\model_directory\fold_nbalb_8y9t_gfp_seed_7_model_0.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,7,-36.800000000000004,-9.6,368,results\model_directory\fold_nbalb_8y9t_gfp_seed_7_model_1.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,7,-39.400000000000006,-9.5,394,results\model_directory\fold_nbalb_8y9t_gfp_seed_7_model_2.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,7,-46.900000000000006,-8.9,469,results\model_directory\fold_nbalb_8y9t_gfp_seed_7_model_3.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,7,-52.6,-10.5,526,results\model_directory\fold_nbalb_8y9t_gfp_seed_7_model_4.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,8,-44.900000000000006,-10.2,449,results\model_directory\fold_nbalb_8y9t_gfp_seed_8_model_0.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,8,-37.800000000000004,-9.5,378,results\model_directory\fold_nbalb_8y9t_gfp_seed_8_model_1.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,8,-42.0,-9.3,420,results\model_directory\fold_nbalb_8y9t_gfp_seed_8_model_2.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,8,-37.0,-9.3,370,results\model_directory\fold_nbalb_8y9t_gfp_seed_8_model_3.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,8,-40.7,-9.6,407,results\model_directory\fold_nbalb_8y9t_gfp_seed_8_model_4.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,9,-43.0,-9.7,430,results\model_directory\fold_nbalb_8y9t_gfp_seed_9_model_0.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,9,-35.2,-9.7,352,results\model_directory\fold_nbalb_8y9t_gfp_seed_9_model_1.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,9,-40.400000000000006,-9.4,404,results\model_directory\fold_nbalb_8y9t_gfp_seed_9_model_2.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,9,-41.800000000000004,-10.1,418,results\model_directory\fold_nbalb_8y9t_gfp_seed_9_model_3.cif,1,False
nbalb_8y9t_gfp,nbalb_8y9t,gfp,9,-39.400000000000006,-9.6,394,results\model_directory\fold_nbalb_8y9t_gfp_seed_9_model_4.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,1,-53.0,-13.3,530,results\model_directory\fold_nbalb_8y9t_lys_seed_1_model_0.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,1,-39.2,-11.2,392,results\model_directory\fold_nbalb_8y9t_lys_seed_1_model_1.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,1,-41.1,-10.9,411,results\model_directory\fold_nbalb_8y9t_lys_seed_1_model_2.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,1,-55.300000000000004,-11.8,553,results\model_directory\fold_nbalb_8y9t_lys_seed_1_model_3.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,1,-41.1,-8.3,411,results\model_directory\fold_nbalb_8y9t_lys_seed_1_model_4.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,10,-54.5,-13.3,545,results\model_directory\fold_nbalb_8y9t_lys_seed_10_model_0.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,10,-45.2,-11.1,452,results\model_directory\fold_nbalb_8y9t_lys_seed_10_model_1.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,10,-54.2,-12.7,542,results\model_directory\fold_nbalb_8y9t_lys_seed_10_model_2.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,10,-35.2,-10.4,352,results\model_directory\fold_nbalb_8y9t_lys_seed_10_model_3.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,10,-48.7,-11.0,487,results\model_directory\fold_nbalb_8y9t_lys_seed_10_model_4.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,2,-57.2,-13.6,572,results\model_directory\fold_nbalb_8y9t_lys_seed_2_model_0.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,2,-56.2,-12.4,562,results\model_directory\fold_nbalb_8y9t_lys_seed_2_model_1.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,2,-50.5,-12.9,505,results\model_directory\fold_nbalb_8y9t_lys_seed_2_model_2.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,2,-43.5,-10.2,435,results\model_directory\fold_nbalb_8y9t_lys_seed_2_model_3.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,2,-48.900000000000006,-11.3,489,results\model_directory\fold_nbalb_8y9t_lys_seed_2_model_4.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,3,-50.400000000000006,-13.2,504,results\model_directory\fold_nbalb_8y9t_lys_seed_3_model_0.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,3,-36.800000000000004,-10.5,368,results\model_directory\fold_nbalb_8y9t_lys_seed_3_model_1.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,3,-37.300000000000004,-10.2,373,results\model_directory\fold_nbalb_8y9t_lys_seed_3_model_2.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,3,-38.6,-11.7,386,results\model_directory\fold_nbalb_8y9t_lys_seed_3_model_3.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,3,-33.6,-10.5,336,results\model_directory\fold_nbalb_8y9t_lys_seed_3_model_4.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,4,-42.400000000000006,-12.6,424,results\model_directory\fold_nbalb_8y9t_lys_seed_4_model_0.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,4,-44.5,-11.2,445,results\model_directory\fold_nbalb_8y9t_lys_seed_4_model_1.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,4,-48.300000000000004,-11.8,483,results\model_directory\fold_nbalb_8y9t_lys_seed_4_model_2.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,4,-48.900000000000006,-13.0,489,results\model_directory\fold_nbalb_8y9t_lys_seed_4_model_3.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,4,-24.1,-10.0,241,results\model_directory\fold_nbalb_8y9t_lys_seed_4_model_4.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,5,-61.2,-14.0,612,results\model_directory\fold_nbalb_8y9t_lys_seed_5_model_0.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,5,-38.6,-11.1,386,results\model_directory\fold_nbalb_8y9t_lys_seed_5_model_1.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,5,-59.6,-13.8,596,results\model_directory\fold_nbalb_8y9t_lys_seed_5_model_2.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,5,-37.9,-7.5,379,results\model_directory\fold_nbalb_8y9t_lys_seed_5_model_3.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,5,-38.900000000000006,-10.5,389,results\model_directory\fold_nbalb_8y9t_lys_seed_5_model_4.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,6,-42.2,-11.0,422,results\model_directory\fold_nbalb_8y9t_lys_seed_6_model_0.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,6,-33.2,-9.7,332,results\model_directory\fold_nbalb_8y9t_lys_seed_6_model_1.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,6,-47.7,-11.2,477,results\model_directory\fold_nbalb_8y9t_lys_seed_6_model_2.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,6,-36.5,-9.9,365,results\model_directory\fold_nbalb_8y9t_lys_seed_6_model_3.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,6,-33.9,-7.1,339,results\model_directory\fold_nbalb_8y9t_lys_seed_6_model_4.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,7,-42.900000000000006,-12.7,429,results\model_directory\fold_nbalb_8y9t_lys_seed_7_model_0.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,7,-32.9,-12.8,329,results\model_directory\fold_nbalb_8y9t_lys_seed_7_model_1.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,7,-36.9,-10.6,369,results\model_directory\fold_nbalb_8y9t_lys_seed_7_model_2.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,7,-53.6,-11.5,536,results\model_directory\fold_nbalb_8y9t_lys_seed_7_model_3.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,7,-30.1,-9.8,301,results\model_directory\fold_nbalb_8y9t_lys_seed_7_model_4.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,8,-46.6,-11.0,466,results\model_directory\fold_nbalb_8y9t_lys_seed_8_model_0.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,8,-55.6,-13.1,556,results\model_directory\fold_nbalb_8y9t_lys_seed_8_model_1.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,8,-64.4,-13.9,644,results\model_directory\fold_nbalb_8y9t_lys_seed_8_model_2.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,8,-35.1,-10.0,351,results\model_directory\fold_nbalb_8y9t_lys_seed_8_model_3.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,8,-31.700000000000003,-10.5,317,results\model_directory\fold_nbalb_8y9t_lys_seed_8_model_4.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,9,-41.0,-11.3,410,results\model_directory\fold_nbalb_8y9t_lys_seed_9_model_0.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,9,-32.9,-10.1,329,results\model_directory\fold_nbalb_8y9t_lys_seed_9_model_1.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,9,-36.5,-10.4,365,results\model_directory\fold_nbalb_8y9t_lys_seed_9_model_2.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,9,-30.200000000000003,-10.9,302,results\model_directory\fold_nbalb_8y9t_lys_seed_9_model_3.cif,1,False
nbalb_8y9t_lys,nbalb_8y9t,lys,9,-32.2,-8.9,322,results\model_directory\fold_nbalb_8y9t_lys_seed_9_model_4.cif,1,False
nbalb_8y9t_mcherry,nbalb_8y9t,mcherry,1,-37.9,-10.7,379,results\model_directory\fold_nbalb_8y9t_mcherry_seed_1_model_0.cif,1,False
nbalb_8y9t_mcherry,nbalb_8y9t,mcherry,1,-43.7,-10.8,437,results\model_directory\fold_nbalb_8y9t_mcherry_seed_1_model_1.cif,1,False
nbalb_8y9t_mcherry,nbalb_8y9t,mcherry,1,-49.900000000000006,-9.3,499,results\model_directory\fold_nbalb_8y9t_mcherry_seed_1_model_2.cif,1,False
nbalb_8y9t_mcherry,nbalb_8y9t,mcherry,1,-40.2,-10.6,402,results\model_directory\fold_nbalb_8y9t_mcherry_seed_1_model_3.cif,1,False
nbalb_8y9t_mcherry,nbalb_8y9t,mcherry,1,-34.2,-7.9,342,results\model_directory\fold_nbalb_8y9t_mcherry_seed_1_model_4.cif,1,False
nbalb_8y9t_mcherry,nbalb_8y9t,mcherry,2,-41.900000000000006,-9.7,419,results\model_directory\fold_nbalb_8y9t_mcherry_seed_2_model_0.cif,1,False
nbalb_8y9t_mcherry,nbalb_8y9t,mcherry,2,-30.6,-8.5,306,results\model_directory\fold_nbalb_8y9t_mcherry_seed_2_model_1.cif,1,False
nbalb_8y9t_mcherry,nbalb_8y9t,mcherry,2,-36.4,-10.1,364,results\model_directory\fold_nbalb_8y9t_mcherry_seed_2_model_2.cif,1,False
nbalb_8y9t_mcherry,nbalb_8y9t,mcherry,2,-31.400000000000002,-8.4,314,results\model_directory\fold_nbalb_8y9t_mcherry_seed_2_model_3.cif,1,False
nbalb_8y9t_mcherry,nbalb_8y9t,mcherry,2,-55.7,-9.8,557,results\model_directory\fold_nbalb_8y9t_mcherry_seed_2_model_4.cif,1,False
nbalb_8y9t_mcherry,nbalb_8y9t,mcherry,3,-47.400000000000006,-11.3,474,results\model_directory\fold_nbalb_8y9t_mcherry_seed_3_model_0.cif,1,False
nbalb_8y9t_mcherry,nbalb_8y9t,mcherry,3,-45.900000000000006,-11.7,459,results\model_directory\fold_nbalb_8y9t_mcherry_seed_3_model_1.cif,1,False
nbalb_8y9t_mcherry,nbalb_8y9t,mcherry,3,-50.5,-10.6,505,results\model_directory\fold_nbalb_8y9t_mcherry_seed_3_model_2.cif,1,False
nbalb_8y9t_mcherry,nbalb_8y9t,mcherry,3,-47.300000000000004,-10.6,473,results\model_directory\fold_nbalb_8y9t_mcherry_seed_3_model_3.cif,1,False
nbalb_8y9t_mcherry,nbalb_8y9t,mcherry,3,-47.1,-8.5,471,results\model_directory\fold_nbalb_8y9t_mcherry_seed_3_model_4.cif,1,False
nbalb_8y9t_mcherry,nbalb_8y9t,mcherry,4,-53.7,-12.2,537,results\model_directory\fold_nbalb_8y9t_mcherry_seed_4_model_0.cif,1,False
nbalb_8y9t_mcherry,nbalb_8y9t,mcherry,4,-51.6,-12.2,516,results\model_directory\fold_nbalb_8y9t_mcherry_seed_4_model_1.cif,1,False
nbalb_8y9t_mcherry,nbalb_8y9t,mcherry,4,-40.0,-8.3,400,results\model_directory\fold_nbalb_8y9t_mcherry_seed_4_model_2.cif,1,False
